answers_count;time_difference;solution;len;wordcount
9;1586;True;538;81
9;9589;False;288;53
9;56244;False;788;136
9;404772;False;2271;384
9;405906;False;357;59
6;1515;False;1455;250
6;1664;False;51;9
6;2078;False;190;35
6;2467;False;1454;264
6;2835;False;953;172
6;212457;True;1049;185
6;565;False;489;83
6;19434;False;386;74
6;19483;False;1032;161
6;19543;True;1334;189
6;81241987;False;251;26
6;123704049;False;434;58
8;232;False;275;44
8;327;False;215;37
8;1267;False;631;106
8;1405;False;364;70
8;1618;False;893;157
8;1633;False;597;97
8;1827;False;1647;265
8;2244;False;435;76
3;676;False;142;22
3;1112;True;681;113
3;2657;False;223;37
6;273;False;221;37
6;564;True;223;38
6;1033;False;279;50
6;24339;False;1700;149
6;63580;False;402;64
6;3470980;False;1904;144
8;170;True;702;108
8;5154;False;107;23
8;34625;False;281;51
8;47805611;False;341;53
8;93892375;False;261;44
8;106277629;False;1149;126
8;124971863;False;933;105
8;130286713;False;43;2
9;527;False;254;36
9;543;False;225;39
9;562;True;152;24
9;623;False;371;59
9;1343;False;249;37
9;360023;False;523;79
9;108335208;False;205;28
9;148245188;False;594;79
9;153160915;False;101;21
7;168;False;1269;208
7;178;True;151;30
7;256;False;170;31
7;276;False;217;43
7;294;False;313;56
7;349;False;421;77
7;3279;False;431;73
4;1707;False;873;159
4;3136;True;263;46
4;18534;False;584;104
4;178579591;False;757;100
13;321;False;176;33
13;365;True;588;81
13;1806;False;504;86
13;45381422;False;2170;286
13;75620378;False;848;129
13;92491841;False;292;49
13;114813529;False;304;51
13;123372943;False;204;29
13;124329523;False;146;22
13;140260425;False;700;113
13;181205430;False;121;19
13;183689779;False;123;16
13;186444404;False;333;56
8;160;True;894;127
8;622;False;302;45
8;62663301;False;368;57
8;62663335;False;250;42
8;62663452;False;857;129
8;81472182;False;208;33
8;125021353;False;749;130
8;182801948;False;1602;284
11;35;False;429;66
11;882;False;137;29
11;5199;False;376;59
11;41595;False;298;53
11;42020;False;158;23
11;66278;False;131;8
11;68283;False;195;28
11;70530;True;1538;230
11;29339384;False;824;104
11;48777116;False;212;38
11;122411423;False;822;105
3;236;True;901;138
3;20195;False;209;29
3;988655;False;260;53
4;2397;False;91;12
4;3110;False;110;15
4;1056761;False;53;9
4;99256152;False;123;19
1;3123;True;1107;177
6;118;True;22;6
6;124;False;94;19
6;539;False;88;17
6;56372;False;357;54
6;97477877;False;175;31
6;102642905;False;450;77
3;2546;True;320;55
3;49252729;False;407;77
3;101743949;False;1773;288
9;180;True;85;15
9;243;False;227;39
9;285;False;148;21
9;448;False;110;18
9;755;False;186;34
9;1263;False;113;17
9;1333;False;900;164
9;3278799;False;29;7
9;57035908;False;390;51
3;263;False;63;13
3;316;True;95;17
3;407;False;373;72
5;2344;False;198;25
5;9347;True;149;18
5;40739;False;307;35
5;58062919;False;45;2
5;169871372;False;571;88
7;414;False;391;73
7;758;False;882;155
7;888;True;402;67
7;1717;False;299;46
7;3338;False;794;147
7;3768061;False;461;79
7;3769470;False;698;115
8;91;True;441;65
8;407;False;87;14
8;110161610;False;257;32
8;123010040;False;157;15
8;130041808;False;506;84
8;133377999;False;144;23
8;161923379;False;577;91
8;163877642;False;157;15
6;715;False;248;49
6;979;True;796;141
6;1735;False;844;145
6;2101;False;508;86
6;6090;False;431;68
6;429704;False;502;85
4;64;False;80;15
4;85;False;409;65
4;524;True;431;68
4;983;False;198;37
6;327;True;700;111
6;2661;False;428;65
6;183178;False;1723;120
6;11447549;False;861;143
6;16198783;False;710;102
6;16200815;False;187;36
1;4914;True;678;126
6;281;False;323;46
6;1630;False;878;133
6;4917;False;1303;212
6;5125;False;2204;367
6;12674;True;909;144
6;57353121;False;183;26
4;455;False;511;91
4;632;False;379;69
4;5092;True;728;128
4;53331;False;1041;173
5;154;False;155;9
5;239;False;104;19
5;574;False;351;63
5;3969;False;434;76
5;122474645;False;1309;192
11;181;False;118;12
11;202;True;86;9
11;287;False;175;19
11;305;False;205;28
11;356;False;337;50
11;592;False;201;32
11;625;False;311;31
11;1062;False;287;35
11;1750;False;235;35
11;78077;False;329;48
11;177498770;False;576;55
5;734;False;147;25
5;761;True;125;24
5;1757;False;244;34
5;2157;False;461;87
5;11033;False;369;64
3;352;False;119;19
3;452;True;387;41
3;1668;False;492;52
2;1824;True;1038;91
2;11977;False;648;103
6;1434;False;557;97
6;1673;False;642;100
6;1874;False;351;59
6;2216;False;429;53
6;2690;False;729;129
6;9166;True;1104;175
21;239;False;664;105
21;274;False;105;12
21;337;False;336;53
21;402;False;103;20
21;491;False;234;38
21;549;False;88;17
21;648;False;164;26
21;9718;True;775;135
21;17646;False;225;42
21;27450;False;422;67
21;36424;False;1039;194
21;56534;False;27;5
21;11145592;False;1752;280
21;32230847;False;166;26
21;65182030;False;49;10
21;65194087;False;652;118
21;65499681;False;568;86
21;69618726;False;100;17
21;69620413;False;158;30
21;90025890;False;623;123
21;100999856;False;17240;2883
12;107;False;283;52
12;311;False;706;125
12;398;False;612;110
12;443;False;868;121
12;512;False;426;80
12;573;False;293;49
12;819;True;659;112
12;1329;False;328;50
12;1753;False;976;152
12;2625;False;115;18
12;4621;False;617;91
12;5351;False;535;80
2;681;True;345;62
2;47667;False;143;25
1;11932;True;247;47
7;464;False;117;11
7;583;False;147;25
7;913;True;274;31
7;1363;False;227;33
7;2202;False;366;54
7;26729;False;161;21
7;222649;False;722;126
3;6611;False;825;141
3;139258;False;295;44
3;223369;False;388;74
4;57;False;116;16
4;85;False;127;25
4;148;True;88;18
4;364;False;434;63
2;309;True;577;88
2;3333;False;424;50
3;435;True;701;98
3;1721;False;465;55
3;109375770;False;379;42
11;130;False;201;34
11;205;False;60;6
11;278;False;31;4
11;302;False;559;85
11;418;False;52;10
11;1741;True;260;50
11;5537;False;368;69
11;400122;False;182;37
11;86602961;False;100;18
11;103900489;False;35;7
11;115014002;False;39;6
1;1441;True;731;127
4;512;False;149;28
4;730;False;409;64
4;759;True;607;112
4;36652635;False;567;102
5;555;False;232;34
5;593;True;672;95
5;734;False;181;25
5;6180;False;1061;173
5;141003494;False;311;29
6;169;False;190;40
6;217;True;850;154
6;221;False;192;30
6;243;False;191;30
6;1022;False;434;80
6;27781;False;411;69
4;147;True;112;17
4;297;False;637;102
4;10851;False;261;43
4;63934493;False;715;51
26;36;False;30;4
26;123;False;39;3
26;304;False;162;21
26;452;False;272;22
